epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,37.2534,2.10753,4.41282,1.74558,0.01301,0.05077,0.01024,0.0038,1.51117,4.20444,1.28859,5.383e-05,5.383e-05,5.383e-05
2,73.0869,1.82013,4.00387,1.47853,0.02018,0.12156,0.05973,0.02535,1.68174,4.03859,1.2091,0.000113066,0.000113066,0.000113066
3,110.764,1.76686,3.29307,1.36297,0.01342,0.12437,0.06418,0.02384,1.75317,3.82042,1.19633,0.000169866,0.000169866,0.000169866
4,147.861,1.72184,2.71145,1.29273,0.97793,0.05534,0.08286,0.03561,1.62782,3.5431,1.17166,0.00022423,0.00022423,0.00022423
5,231.456,1.61362,2.41613,1.22984,0.9714,0.07855,0.10116,0.05454,1.4603,3.3144,1.12556,0.000276157,0.000276157,0.000276157
6,363.163,1.55903,2.17335,1.27582,0.83419,0.09685,0.12903,0.07233,1.50005,3.1831,1.19855,0.000325648,0.000325648,0.000325648
7,573.347,1.53208,1.9791,1.23292,0.95934,0.10083,0.15586,0.09305,1.58872,3.17773,1.2846,0.000372704,0.000372704,0.000372704
8,754.551,1.54094,1.92717,1.24743,0.75315,0.11957,0.20625,0.12542,1.5499,2.93847,1.25599,0.000417322,0.000417322,0.000417322
9,879.734,1.4878,1.84233,1.24356,0.77032,0.21313,0.26712,0.15772,1.48643,2.33159,1.17413,0.000459505,0.000459505,0.000459505
10,1004.51,1.46817,1.77694,1.19059,0.50051,0.26247,0.31271,0.1947,1.43071,2.16879,1.15639,0.000499252,0.000499252,0.000499252
11,1174.02,1.45555,1.73187,1.20042,0.49774,0.2897,0.33836,0.21026,1.36883,1.97889,1.1461,0.000536562,0.000536562,0.000536562
12,1334.02,1.38234,1.54767,1.15834,0.46737,0.27009,0.38865,0.24056,1.36837,1.89616,1.1374,0.000571436,0.000571436,0.000571436
13,1519.05,1.38028,1.53697,1.14396,0.53454,0.37184,0.44877,0.25479,1.38768,1.65627,1.14492,0.000586286,0.000586286,0.000586286
