epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,62.3668,4.29064,6.50535,2.67118,0,0,0,0,3.40901,6.03512,2.18516,7.644e-05,7.644e-05,7.644e-05
2,126.003,3.51636,5.72606,2.00531,0.00024,0.01282,8e-05,2e-05,3.09365,5.65998,1.82831,0.000156795,0.000156795,0.000156795
3,188.685,2.9543,5.14261,1.63426,0.00038,0.0206,7e-05,1e-05,2.59153,5.37973,1.64147,0.000235113,0.000235113,0.000235113
4,252.756,2.55848,4.48101,1.3935,0.00037,0.01709,0.00026,5e-05,2.71124,5.03719,1.7275,0.000311394,0.000311394,0.000311394
5,318.073,2.33478,3.79932,1.30679,0.00841,0.38915,0.08892,0.03771,2.45005,4.45192,1.56166,0.000385637,0.000385637,0.000385637
6,382.674,2.24688,3.29173,1.31099,0.84976,0.09413,0.2398,0.09339,2.19236,3.66739,1.45127,0.000457843,0.000457843,0.000457843
7,445.162,2.16935,2.99529,1.275,0.56016,0.25246,0.30515,0.1464,1.89911,3.28239,1.30833,0.000528011,0.000528011,0.000528011
8,507.784,2.13719,2.74898,1.26551,0.41821,0.30701,0.33538,0.14224,1.93055,3.04096,1.27808,0.000537064,0.000537064,0.000537064
9,570.852,1.96904,2.49726,1.19543,0.36561,0.54319,0.42948,0.21777,1.79658,2.72898,1.22293,0.000529788,0.000529788,0.000529788
10,634.249,1.94976,2.47602,1.21329,0.4197,0.518,0.49014,0.26211,1.70428,2.60386,1.19129,0.000522511,0.000522511,0.000522511
11,696.759,1.8441,2.26444,1.13953,0.42366,0.55805,0.50523,0.25534,1.79452,2.44935,1.1953,0.000515235,0.000515235,0.000515235
12,1159.36,1.80063,2.1942,1.16091,0.48116,0.50662,0.51973,0.28479,1.68268,2.57579,1.15286,0.000507959,0.000507959,0.000507959
13,1410.41,1.82044,2.16944,1.15883,0.49526,0.51314,0.50727,0.29304,1.66275,2.57978,1.15253,0.000500682,0.000500682,0.000500682
14,1687.11,1.79405,2.0575,1.1377,0.49297,0.47991,0.51642,0.29912,1.59439,2.55585,1.15801,0.000493405,0.000493405,0.000493405
15,1841.6,1.81329,2.09129,1.12606,0.4292,0.43838,0.44946,0.2177,1.89192,2.75834,1.32084,0.000486129,0.000486129,0.000486129
16,2117.57,1.66233,2.00192,1.09829,0.44672,0.57162,0.55714,0.33442,1.60676,2.15776,1.15838,0.000478852,0.000478852,0.000478852
17,2402.02,1.63978,1.94601,1.08105,0.52461,0.64808,0.57897,0.32485,1.6368,2.07428,1.14547,0.000471576,0.000471576,0.000471576
18,2703.25,1.55177,1.8571,1.0592,0.54946,0.66706,0.61829,0.3442,1.59527,1.94481,1.13532,0.0004643,0.0004643,0.0004643
19,2958.81,1.55418,1.81549,1.07255,0.52357,0.66185,0.60115,0.30964,1.71408,1.9889,1.15566,0.000457023,0.000457023,0.000457023
20,3124.39,1.53099,1.81561,1.07008,0.56412,0.62771,0.61388,0.31694,1.72642,2.07095,1.16137,0.000449746,0.000449746,0.000449746
21,3301.39,1.47627,1.69941,1.0342,0.57359,0.65885,0.64493,0.39223,1.50308,1.91547,1.12391,0.00044247,0.00044247,0.00044247
22,3517.24,1.53325,1.71239,1.04082,0.53563,0.73488,0.62887,0.35337,1.53022,1.9224,1.13964,0.000435194,0.000435194,0.000435194
23,4001.79,1.5179,1.70669,1.03843,0.50313,0.69132,0.61438,0.31494,1.69211,1.95684,1.15758,0.000427917,0.000427917,0.000427917
24,4302.61,1.54626,1.70383,1.05185,0.51498,0.76019,0.60015,0.33337,1.52308,1.85933,1.13254,0.00042064,0.00042064,0.00042064
25,4607.84,1.46524,1.64098,1.01601,0.5501,0.68759,0.6384,0.36874,1.48466,1.7957,1.08629,0.000413364,0.000413364,0.000413364
26,4894.33,1.41731,1.64908,1.01703,0.54686,0.76492,0.64679,0.37491,1.48262,1.82347,1.1048,0.000406088,0.000406088,0.000406088
27,5178.52,1.36558,1.53022,1.00547,0.59602,0.75035,0.64734,0.38482,1.47456,1.72239,1.10593,0.000398811,0.000398811,0.000398811
28,5446.8,1.35248,1.54259,1.01356,0.5177,0.73299,0.62686,0.38165,1.46046,1.77911,1.09334,0.000391534,0.000391534,0.000391534
29,5725.72,1.3399,1.50525,0.99782,0.56147,0.76643,0.64468,0.36939,1.49719,1.75062,1.10897,0.000384258,0.000384258,0.000384258
30,5989.27,1.38193,1.5023,1.0064,0.52726,0.72868,0.65147,0.37008,1.50998,1.79445,1.12287,0.000376981,0.000376981,0.000376981
31,6224.24,1.39706,1.52764,1.01153,0.57256,0.72567,0.63491,0.37543,1.48453,1.67822,1.10938,0.000369705,0.000369705,0.000369705
32,6505.47,1.41591,1.46868,1.00913,0.55651,0.71482,0.6232,0.34145,1.5978,1.83664,1.17277,0.000362428,0.000362428,0.000362428
33,6639.4,1.39577,1.42724,0.99544,0.55272,0.75143,0.6186,0.35437,1.49116,1.70216,1.13035,0.000355152,0.000355152,0.000355152
34,6899.06,1.33784,1.37323,0.98031,0.58252,0.71806,0.68843,0.37686,1.56683,1.58667,1.12226,0.000347876,0.000347876,0.000347876
35,7206.28,1.37065,1.41535,1.02126,0.63164,0.71088,0.7254,0.4106,1.50475,1.68467,1.12383,0.000340599,0.000340599,0.000340599
36,7493.38,1.29766,1.38205,0.99228,0.65121,0.70172,0.6948,0.35371,1.74947,1.691,1.16908,0.000333322,0.000333322,0.000333322
37,7746.83,1.40672,1.32784,0.98404,0.61502,0.71488,0.69712,0.41019,1.45678,1.59325,1.08074,0.000326046,0.000326046,0.000326046
38,8024.16,1.31162,1.31553,0.97229,0.621,0.73207,0.72574,0.41138,1.54381,1.55723,1.10096,0.000318769,0.000318769,0.000318769
39,8317.71,1.27559,1.27851,0.97358,0.58479,0.73695,0.73796,0.41182,1.52725,1.56236,1.11099,0.000311493,0.000311493,0.000311493
40,8584.15,1.27107,1.26807,0.96355,0.62822,0.75074,0.75168,0.41877,1.58436,1.53178,1.11745,0.000304216,0.000304216,0.000304216
41,8917.6,1.3771,1.29934,1.02046,0.76808,0.65066,0.75601,0.42978,1.54373,1.50902,1.10135,0.00029694,0.00029694,0.00029694
42,9212.69,1.27846,1.18298,0.976,0.70023,0.70187,0.75536,0.44072,1.50335,1.52744,1.09871,0.000289664,0.000289664,0.000289664
43,9497.06,1.19928,1.13322,0.94867,0.63468,0.73743,0.7337,0.4199,1.5963,1.54186,1.12618,0.000282387,0.000282387,0.000282387
44,9787.95,1.22169,1.16484,0.96484,0.69069,0.71346,0.75992,0.45973,1.46226,1.53666,1.09125,0.000275111,0.000275111,0.000275111
45,10003.4,1.23266,1.11614,0.94965,0.7594,0.64575,0.76873,0.45051,1.52824,1.47809,1.10547,0.000267834,0.000267834,0.000267834
46,10352.9,1.21116,1.08823,0.96336,0.708,0.73508,0.78296,0.46236,1.52105,1.41743,1.10641,0.000260557,0.000260557,0.000260557
47,10578.5,1.17989,1.19346,0.95869,0.69951,0.74923,0.7833,0.45845,1.51475,1.4466,1.12721,0.000253281,0.000253281,0.000253281
48,10641.7,1.15579,1.0478,0.93945,0.71899,0.73382,0.77079,0.44318,1.62876,1.44155,1.14093,0.000246004,0.000246004,0.000246004
49,10706.6,1.16885,1.05091,0.94433,0.75632,0.71148,0.77913,0.46531,1.49264,1.47434,1.10824,0.000238728,0.000238728,0.000238728
50,11021.9,1.25004,1.0739,0.9569,0.71851,0.68556,0.75761,0.42733,1.65241,1.52444,1.14908,0.000231451,0.000231451,0.000231451
51,11411.6,1.25717,1.0711,0.9549,0.67153,0.78428,0.76625,0.48087,1.47102,1.4094,1.08193,0.000224175,0.000224175,0.000224175
52,11647.2,1.25163,1.0639,0.94752,0.67219,0.79889,0.80312,0.47485,1.47531,1.37724,1.07825,0.000216899,0.000216899,0.000216899
53,11708,1.17043,1.05161,0.94345,0.77951,0.72678,0.8108,0.46765,1.58131,1.40215,1.11931,0.000209622,0.000209622,0.000209622
54,11769.5,1.1387,0.99475,0.93734,0.76022,0.73311,0.79973,0.48248,1.49386,1.42127,1.10376,0.000202345,0.000202345,0.000202345
55,11830.4,1.15968,0.99781,0.93295,0.714,0.78273,0.80595,0.4746,1.54598,1.37888,1.11323,0.000195069,0.000195069,0.000195069
56,11892.3,1.15164,1.00914,0.93905,0.72177,0.78909,0.81183,0.48982,1.53232,1.39345,1.10784,0.000187793,0.000187793,0.000187793
57,11953.5,1.21483,1.01933,0.94283,0.69902,0.75694,0.79087,0.4886,1.50174,1.3925,1.10038,0.000180516,0.000180516,0.000180516
58,12015.9,1.088,0.98059,0.9567,0.75393,0.69253,0.7911,0.48287,1.41873,1.33634,1.07872,0.000173239,0.000173239,0.000173239
59,12077.5,1.10925,0.95152,0.91481,0.74231,0.77032,0.7994,0.47829,1.47387,1.35639,1.09009,0.000165963,0.000165963,0.000165963
60,12209.9,1.08555,0.95989,0.9213,0.7932,0.77195,0.82489,0.49645,1.4636,1.3198,1.09499,0.000158686,0.000158686,0.000158686
61,12277.3,1.06511,0.92796,0.91462,0.76642,0.77789,0.81627,0.48675,1.51534,1.32694,1.10801,0.00015141,0.00015141,0.00015141
62,12341.1,1.09182,0.94528,0.92208,0.84576,0.73343,0.82266,0.49548,1.43196,1.29826,1.0896,0.000144134,0.000144134,0.000144134
63,12405.1,1.08885,0.92341,0.91872,0.83436,0.76258,0.83154,0.4977,1.46678,1.30673,1.09732,0.000136857,0.000136857,0.000136857
64,12468.5,1.04452,0.89347,0.90181,0.76488,0.78863,0.82202,0.49912,1.40914,1.27904,1.07994,0.00012958,0.00012958,0.00012958
65,12531,1.08261,0.92083,0.91641,0.74562,0.77421,0.82822,0.50664,1.40718,1.32043,1.08149,0.000122304,0.000122304,0.000122304
66,12594.2,1.03166,0.89322,0.91587,0.78649,0.81136,0.83206,0.50888,1.39907,1.31569,1.07875,0.000115027,0.000115027,0.000115027
67,12655.7,1.03608,0.90342,0.92021,0.75091,0.80736,0.83461,0.50525,1.41264,1.27924,1.08653,0.000107751,0.000107751,0.000107751
68,12717.3,1.05514,0.89099,0.91575,0.77541,0.75424,0.82339,0.50845,1.47565,1.25631,1.09656,0.000100474,0.000100474,0.000100474
