epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.589055,4.58119,9.26917,0.68479,8.18614,4.0326,0,0,0,0,0,0,0,0,4.78367,7.55153,0.70351,15.9527,4.55674,0,0,0
2,1.08815,1.98466,6.66251,0.70144,4.84449,2.2221,0,0,0,0,0,0,0,0,4.54991,7.70923,0.7038,14.4848,4.38539,1.9802e-05,1.9802e-05,1.9802e-05
3,1.75395,3.23327,7.795,0.71116,4.60367,3.89798,0.00206,0.5,0.00196,0.0002,0,0,0,0,4.09897,7.67216,0.70399,12.0857,4.11083,3.9208e-05,3.9208e-05,3.9208e-05
4,2.29303,2.60229,9.43928,0.70222,3.44832,2.68974,0.00222,0.5,0.0051,0.00204,0,0,0,0,3.56158,7.73773,0.70434,8.46548,3.8405,5.8218e-05,5.8218e-05,5.8218e-05
5,2.80871,1.7929,7.40691,0.70663,2.76836,2.26543,0.0116,0.5,0.03149,0.01552,0,0,0,0,2.84703,7.93888,0.70458,5.10083,3.43391,7.6832e-05,7.6832e-05,7.6832e-05
6,3.32711,1.73656,9.34797,0.712,3.26028,2.28917,0.24205,0.5,0.16723,0.11001,0,0,0,0,2.19113,7.75132,0.70492,3.1274,3.02344,9.505e-05,9.505e-05,9.505e-05
7,3.85413,1.26061,7.54401,0.70299,2.2732,1.55334,0.92506,0.5,0.66167,0.48217,0,0,0,0,1.80668,7.54562,0.70518,1.88806,2.73886,0.000112872,0.000112872,0.000112872
8,4.36682,1.7656,4.55702,0.71467,1.59727,2.3439,1,0.98874,0.995,0.596,0,0,0,0,1.4611,7.53645,0.70516,1.4977,2.36749,0.000130298,0.000130298,0.000130298
9,4.87254,2.16527,6.00618,0.68803,1.8208,2.6335,0.9885,1,0.995,0.646,0,0,0,0,1.29733,7.1493,0.70472,1.57905,2.06903,0.000147328,0.000147328,0.000147328
10,5.35403,0.88662,7.16495,0.69352,0.9137,1.31336,0.98751,1,0.995,0.71217,0,0,0,0,1.16707,7.1543,0.70337,1.46417,1.86353,0.000163962,0.000163962,0.000163962
11,5.83747,1.37736,8.60806,0.69202,1.23534,1.68914,1,0.92005,0.995,0.72883,0,0,0,0,1.06287,6.92008,0.70246,1.27942,1.7076,0.0001802,0.0001802,0.0001802
12,6.32969,0.97299,4.67804,0.71213,1.65617,1.64584,0.9779,1,0.995,0.7455,0,0,0,0,0.91129,6.54618,0.70102,0.93002,1.52127,0.000196042,0.000196042,0.000196042
13,6.81331,1.29726,7.36888,0.70944,1.02599,1.6301,0.9796,1,0.995,0.746,0,0,0,0,0.8952,6.54545,0.69881,0.73193,1.50378,0.000211488,0.000211488,0.000211488
14,7.28978,0.63672,8.90718,0.66484,0.80218,1.23879,0.98024,1,0.995,0.7455,0,0,0,0,0.94517,6.53897,0.69597,0.73539,1.52702,0.000226538,0.000226538,0.000226538
15,7.74175,0.90815,5.23229,0.68155,1.08138,1.43799,0.982,1,0.995,0.6465,0,0,0,0,1.084,6.51574,0.69178,0.80278,1.67153,0.000241192,0.000241192,0.000241192
16,8.24178,0.72485,6.35316,0.68758,0.89904,1.41241,0.97963,1,0.995,0.6465,0,0,0,0,1.19515,6.48839,0.68712,0.90596,1.76197,0.00025545,0.00025545,0.00025545
17,8.6997,0.68502,5.62601,0.66676,0.6857,1.26113,0.97746,1,0.995,0.7955,0,0,0,0,1.09379,6.59155,0.68346,1.09473,1.65045,0.000269312,0.000269312,0.000269312
18,9.14002,0.83185,7.39198,0.71758,0.73529,1.22273,0.97746,1,0.995,0.7955,0,0,0,0,1.09379,6.59155,0.68346,1.09473,1.65045,0.000282778,0.000282778,0.000282778
19,9.6272,0.63822,8.19256,0.68306,0.50117,1.25365,0.97478,1,0.995,0.7955,0,0,0,0,0.76362,6.39872,0.68139,1.26395,1.36134,0.000295848,0.000295848,0.000295848
20,10.0953,0.44273,7.12772,0.67174,0.45245,1.03415,0.97478,1,0.995,0.7955,0,0,0,0,0.76362,6.39872,0.68139,1.26395,1.36134,0.000308522,0.000308522,0.000308522
21,10.5769,0.84491,4.68386,0.66856,0.84993,1.40519,0.95547,1,0.995,0.82075,0,0,0,0,0.73702,6.33073,0.68163,1.07076,1.33258,0.0003208,0.0003208,0.0003208
22,11.0405,0.511,8.16161,0.66549,0.46571,1.20667,0.95547,1,0.995,0.82075,0,0,0,0,0.73702,6.33073,0.68163,1.07076,1.33258,0.000332682,0.000332682,0.000332682
